DATE,CLOSING.PRICE
2/7/1984,56.03
2/8/1984,54.36
2/9/1984,54.26
2/10/1984,54.87
2/13/1984,54
2/14/1984,55.1
2/15/1984,54.79
2/16/1984,54.58
2/17/1984,54.05
2/21/1984,53.49
2/22/1984,53.51
2/23/1984,53.29
2/24/1984,54.93
2/27/1984,55.48
2/28/1984,54.01
2/29/1984,54.28
3/1/1984,54.85
3/2/1984,55.53
3/5/1984,54.93
3/6/1984,53.84
3/7/1984,52.76
3/8/1984,53.04
3/9/1984,52.88
3/12/1984,54.03
3/13/1984,54.62
3/14/1984,54.65
3/15/1984,55.01
3/16/1984,55.89
3/19/1984,55.22
3/20/1984,55.51
3/21/1984,55.12
3/22/1984,54.22
3/23/1984,53.91
3/26/1984,53.86
3/27/1984,53.86
3/28/1984,55.05
3/29/1984,54.95
3/30/1984,54.69
4/2/1984,54.03
4/3/1984,53.53
4/4/1984,53.19
4/5/1984,51.68
4/6/1984,51.59
4/9/1984,51.18
4/10/1984,51.26
4/11/1984,50.38
4/12/1984,51.6
4/13/1984,51.89
4/16/1984,52.49
4/17/1984,52.76
4/18/1984,52.57
4/19/1984,52.72
4/23/1984,52.4
4/24/1984,52.69
4/25/1984,53.01
4/26/1984,54.1
4/27/1984,54.6
4/30/1984,55.05
5/1/1984,56.37
5/2/1984,56.79
5/3/1984,56.19
5/4/1984,54.97
5/7/1984,55.15
5/8/1984,55.67
5/9/1984,55.42
5/10/1984,55.34
5/11/1984,54.53
5/14/1984,54.24
5/15/1984,54.34
5/16/1984,54.12
5/17/1984,52.9
5/18/1984,52.31
5/21/1984,51.94
5/22/1984,51.44
5/23/1984,51.03
5/24/1984,49.6
5/25/1984,49.6
5/29/1984,49.06
5/30/1984,49.47
5/31/1984,49.83
6/1/1984,50.87
6/4/1984,51.72
6/5/1984,51.49
6/6/1984,51.81
6/7/1984,51.63
6/8/1984,51.46
6/11/1984,50.29
6/12/1984,50.24
6/13/1984,50.37
6/14/1984,49.49
6/15/1984,49.47
6/18/1984,50.35
6/19/1984,50.83
6/20/1984,51.76
6/21/1984,52.03
6/22/1984,52.18
6/25/1984,52.03
6/26/1984,51.15
6/27/1984,50.42
6/28/1984,50.99
6/29/1984,51.06
7/2/1984,50.99
7/3/1984,50.87
7/5/1984,50.36
7/6/1984,50.1
7/9/1984,50.39
7/10/1984,50.22
7/11/1984,49.43
7/12/1984,48.69
7/13/1984,48.75
7/16/1984,48.27
7/17/1984,48.44
7/18/1984,47.97
7/19/1984,47.26
7/20/1984,46.56
7/23/1984,45.82
7/24/1984,45.37
7/25/1984,45.73
7/26/1984,46.85
7/27/1984,48.31
7/30/1984,47.7
7/31/1984,48.25
8/1/1984,49.82
8/2/1984,52.02
8/3/1984,55.39
8/6/1984,55.94
8/7/1984,56.06
8/8/1984,55.18
8/9/1984,56.76
8/10/1984,56.88
8/13/1984,56.76
8/14/1984,56.1
8/15/1984,55.6
8/16/1984,56.08
8/17/1984,56.1
8/20/1984,56.21
8/21/1984,57.49
8/22/1984,57.12
8/23/1984,57.28
8/24/1984,57.37
8/27/1984,56.63
8/28/1984,56.99
8/29/1984,56.76
8/30/1984,56.38
8/31/1984,56.38
9/4/1984,55.61
9/5/1984,55.35
9/6/1984,55.73
9/7/1984,54.92
9/10/1984,54.62
9/11/1984,54.51
9/12/1984,53.85
9/13/1984,55.07
9/14/1984,55.64
9/17/1984,55.64
9/18/1984,54.56
9/19/1984,53.49
9/20/1984,53.67
9/21/1984,53.17
9/24/1984,52.69
9/25/1984,52.28
9/26/1984,51.98
9/27/1984,51.85
9/28/1984,51.25
10/1/1984,50.51
10/2/1984,49.82
10/3/1984,49.58
10/4/1984,49.74
10/5/1984,49.51
10/8/1984,49.12
10/9/1984,48.97
10/10/1984,49.56
10/11/1984,49.84
10/12/1984,50.31
10/15/1984,50.69
10/16/1984,50.31
10/17/1984,50.31
10/18/1984,51.97
10/19/1984,52.18
10/22/1984,52.08
10/23/1984,51.99
10/24/1984,52.01
10/25/1984,50.76
10/26/1984,49.97
10/29/1984,49.83
10/30/1984,50.55
10/31/1984,50.22
11/1/1984,50.5
11/2/1984,50.12
11/5/1984,50.37
11/6/1984,51.19
11/7/1984,50.69
11/8/1984,50.55
11/9/1984,50.36
11/12/1984,50.38
11/13/1984,49.81
11/14/1984,49.69
11/15/1984,49.36
11/16/1984,48.93
11/19/1984,48.4
11/20/1984,48.64
11/21/1984,48.58
11/23/1984,49.63
11/26/1984,49.38
11/27/1984,49.57
11/28/1984,49
11/29/1984,48.39
11/30/1984,47.94
12/3/1984,47.66
12/4/1984,47.8
12/5/1984,47.35
12/6/1984,47.72
12/7/1984,47.51
12/10/1984,47.38
12/11/1984,47.59
12/12/1984,47.38
12/13/1984,46.97
12/14/1984,47.37
12/17/1984,47.44
12/18/1984,49.61
12/19/1984,49.94
12/20/1984,49.58
12/21/1984,49.24
12/24/1984,49.97
12/26/1984,49.98
12/27/1984,49.81
12/28/1984,50.08
12/31/1984,50.35
